componente_id,tamaño_componente,id_articulo,titulo,autor,año
1,1415,100,p-creative sets vs. p-completely creative sets,J. Wang,1989
1,1415,1016,A New Four Dimension Virtual Reality Modelling Method,Li Weigang,2009
1,1415,1024,Advances in Computational Logic (CILC08),Sin autor,2009
1,1415,1032,Application of 6-Using mode in computer education,Ping Yang; Yong Yang; Jianguo Dong,2009
1,1415,1034,Applying Reinforcement Learning for Game AI in a Tank-Battle Game,Yung-Ping Fang; I-Hsien Ting,2009
1,1415,1038,Assessing organizational stability via network analysis,Ben Collingsworth; Ronaldo Menezes; Paulo Martins,2009
1,1415,1040,Automatic Opinion Extraction from Web Documents,Shishir K. Shandilya; Suresh Jain,2009
1,1415,1042,Biomedical Engineering and Computational Biology,Kayvan Najarian,2009
1,1415,107,"Information, uncertainty and intelligence (hard logic to soft (fuzzy) logic)",M.M. Gupta,1990
1,1415,1072,Digital Oil Field Data Management Based on Data Grid,Man Yuan; Xiaoli Guo; Rui He; Jianping Hu,2009
1,1415,1073,Discussion of Ability Cultivation of Computational Thinking in Course Teaching,Zhenrong Deng; Wenming Huang; Rongsheng Dong,2009
1,1415,1082,Exploration and Practice of CDIO Educational Idea in Teaching Reform of Computer Foundation,Yanguang Shen; Hongmei Xue; Meiye Zhang; Yongjian Fan,2009
1,1415,1097,In-Between Architecture Computation,Christian Derix,2009
1,1415,1103,Interaction design for female-oriented games,Han Ruozhu; Shui Linlin; Shi Minyong,2009
1,1415,1105,Language-based support for computational thinking,Katy Howland; Judith Good; Keiron Nicholson,2009
1,1415,1107,Machinery Fault Diagnosis System Based on Fuzzy Neural Networks,Xingli Bai; Hongyun Men,2009
1,1415,111,A Computational Modelling Approach to the Design of Stable Ventilation Systems,CEng MIMechE M P Kissane BSc PhD R F Boucher PhD,1991
1,1415,1115,Motivation and Training Program on Robotics Education,Jiaxin Han; Rongfang Gao,2009
1,1415,1142,Precise Simulation Model for DNA Tile Self-Assembly,Kenichi Fujibayashi; Satoshi Murata,2009
1,1415,1145,Profile-Based Focused Crawling for Social Media-Sharing Websites,Zhiyong Zhang; Olfa Nasraoui,2009
1,1415,1148,Qualification and quantification of fuzzy linguistic variables and fuzzy expressions,Yingxu Wang,2009
1,1415,1149,RA-An Agent BDI Model Based on Role,Jian Zhang; Guang-Zhou Zeng,2009
1,1415,1155,Research on the Attributes of Rational Agent's Internal States,Cheng Xian-yi; Qiu Jian-lin; Zhu Qian,2009
1,1415,1168,Stella,Nick Montfort; Ian Bogost,2009
1,1415,1175,Supporting the development of multimodal writing and computational thinking skills through computer game creation,Katy Howland,2009
1,1415,1190,The Trust Measurement Algorithm of Agent Internetware for Architecture-Centric Evolution Model,Xiaona Xia; Baoxiang Cao; Jiguo Yu,2009
1,1415,1195,The need for a unified framework for evaluating web cache replacement strategies,El-Sayed M. El-Alfy; Anas M. N. Orwani,2009
1,1415,1202,Ubiquitous Computational Thinking,Peter B. Henderson,2009
1,1415,1208,Wake-tracking and turbulence modelling in computational aerodynamics of wind turbine aerofoils,A Zanon E Minisci A Bonfiglioli M S Campobasso,2009
1,1415,1221,A Type-2 Fuzzy Ontology and Its Application to Personal Diabetic-Diet Recommendation,Chang-Shing Lee; Mei-Hui Wang; Hani Hagras,2010
1,1415,1224,A cognitive learning model in classroom interaction,Cui Guangzuo,2010
1,1415,1260,Comparative study of engineering problem-solving models,Amod Tiwari; Ashish Kumar Singh; Sunil Kumar Pandey; Rupali Chaturvedi; A. Chatterjee,2010
1,1415,1272,Computer architecture education in multicore era: Is the time to change,Liqiang He,2010
1,1415,1284,Diamonds in the rough: Social media visual analytics for journalistic inquiry,Nicholas Diakopoulos; Mor Naaman; Funda Kivran-Swaine,2010
1,1415,1287,Discussion on research and development of artificial intelligence,Song Ning; Ma Yan,2010
1,1415,1293,Efficient Certification Path Discovery for MANET,Elisavet Konstantinou Anastasia Douma Marios Anagnostopoulos Georgios Kambourakis; Georgios Fotiadis,2010
1,1415,1300,Evaluating Environmental Sounds from a Presence Perspective for Virtual Reality Applications,Rolf Nordahl,2010
1,1415,131,Book Review: Olfaction: A model system for computational neuroscience,R. W. Kentridge,1992
1,1415,1313,GPU-Based FFT Computation for Multi-Gigabit WirelessHD Baseband Processing,Nicholas Hinitt; Taskin Kocak,2010
1,1415,132,COALA-A computational system for interlanguage analysis,Manfred Pienemann,1992
