id_origen,id_destino,titulo_origen,titulo_destino,peso,similitud_porcentaje,direccion
0,4371,Chapter VIII: Computational Technics,COMPUTATIONAL THINKING,0.776247,77.6%,0 → 4371
0,2648,Chapter VIII: Computational Technics,Introduction to the Series on Computational Psychi,0.850508,85.1%,0 → 2648
0,240,Chapter VIII: Computational Technics,Computational Astronomy: Five Centuries of Finding,0.8692,86.9%,0 → 240
0,2857,Chapter VIII: Computational Technics,Advances in Validation of Computational Mechanics ,0.921704,92.2%,0 → 2857
1,4371,Chapter VIII Computational Technics,COMPUTATIONAL THINKING,0.776247,77.6%,1 → 4371
1,2648,Chapter VIII Computational Technics,Introduction to the Series on Computational Psychi,0.850508,85.1%,1 → 2648
1,240,Chapter VIII Computational Technics,Computational Astronomy: Five Centuries of Finding,0.8692,86.9%,1 → 240
1,2857,Chapter VIII Computational Technics,Advances in Validation of Computational Mechanics ,0.921704,92.2%,1 → 2857
2,4371,Chapter VI: Computational Technics,COMPUTATIONAL THINKING,0.776247,77.6%,2 → 4371
2,2648,Chapter VI: Computational Technics,Introduction to the Series on Computational Psychi,0.850508,85.1%,2 → 2648
2,240,Chapter VI: Computational Technics,Computational Astronomy: Five Centuries of Finding,0.8692,86.9%,2 → 240
2,2857,Chapter VI: Computational Technics,Advances in Validation of Computational Mechanics ,0.921704,92.2%,2 → 2857
6,3269,The Psychoanalytic Theory of Thinking,Computational Grounded Theory: A Methodological Fr,0.685469,68.5%,6 → 3269
6,199,The Psychoanalytic Theory of Thinking,Inference to the Best Plan: a Coherence Theory of ,0.700868,70.1%,6 → 199
6,322,The Psychoanalytic Theory of Thinking,Digital Morse theory for anatomic modeling,0.727009,72.7%,6 → 322
6,981,The Psychoanalytic Theory of Thinking,The History of the Theory of Structures: From Arch,0.746705,74.7%,6 → 981
6,2141,The Psychoanalytic Theory of Thinking,Toward uncertain finance theory,0.774027,77.4%,6 → 2141
6,3773,The Psychoanalytic Theory of Thinking,Database Theory Column Report on PODS 2018,0.796813,79.7%,6 → 3773
6,6833,The Psychoanalytic Theory of Thinking,Nonlinear generalized thermoelasticity: theory and,0.801856,80.2%,6 → 6833
7,5724,The Relation of Utilization to the Shortage of Sci,Cloud-Native Repositories for Big Scientific Data,0.615329,61.5%,7 → 5724
7,9230,The Relation of Utilization to the Shortage of Sci,Balancing specialization and adaptation in a trans,0.62402,62.4%,7 → 9230
7,2945,The Relation of Utilization to the Shortage of Sci,ECR 2016 Book of Abstracts - B - Scientific Sessio,0.660919,66.1%,7 → 2945
7,1541,The Relation of Utilization to the Shortage of Sci,ECR 2011 Book of Abstracts - B - Scientific Sessio,0.660919,66.1%,7 → 1541
7,2602,The Relation of Utilization to the Shortage of Sci,ECR 2015 Book of Abstracts - B - Scientific Sessio,0.660919,66.1%,7 → 2602
7,2002,The Relation of Utilization to the Shortage of Sci,ECR 2013 Book of Abstracts - B - Scientific Sessio,0.660919,66.1%,7 → 2002
7,1252,The Relation of Utilization to the Shortage of Sci,B - Scientific Sessions,0.660919,66.1%,7 → 1252
8,92,Man-Computer Symbiosis,Expanding human-computer interaction by computer a,0.652893,65.3%,8 → 92
8,41,Man-Computer Symbiosis,The Computer in Choreography,0.712725,71.3%,8 → 41
9,8777,Wishful Thinking about Children's Thinking?,Population Analysis of Children's Clothing/Toys St,0.622923,62.3%,9 → 8777
9,362,Wishful Thinking about Children's Thinking?,Mathematical Thinking in Second-Grade Children wit,0.635053,63.5%,9 → 362
9,21,Wishful Thinking about Children's Thinking?,Creative Thinking Abilities of Intellectually Supe,0.663656,66.4%,9 → 21
9,2604,Wishful Thinking about Children's Thinking?,EPS Mid-Career Award 2013: Ways of thinking: From ,0.687626,68.8%,9 → 2604
9,8122,Wishful Thinking about Children's Thinking?,Afterword: Thinking futures,0.721996,72.2%,9 → 8122
9,3737,Wishful Thinking about Children's Thinking?,Computational Thinking Education for Children: Alg,0.785864,78.6%,9 → 3737
10,5733,"Critical Thinking Ability, Attitudes, and Values A",Competency Training Ability of College Counselors ,0.633313,63.3%,10 → 5733
11,645,Current Thinking on Parole Prediction Tables,A Nonlinear Prediction Approach to the Blind Separ,0.611886,61.2%,11 → 645
11,1672,Current Thinking on Parole Prediction Tables,Value-transformation for monotone prediction by ap,0.618377,61.8%,11 → 1672
11,473,Current Thinking on Parole Prediction Tables,Lifetime Prediction of All-ceramic Bridges by Comp,0.632603,63.3%,11 → 473
